weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,True,3,False,3,False,True,0.849,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,False,3,False,3,False,True,0.917,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,False,4,False,3,False,True,0.928,True
0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.894,True
0.001,0.001,300,10,0.1,32,go2vec,1,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.895,True
0.001,0.001,500,10,0.1,32,go2vec,1,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.897,True
0.001,0.001,400,10,0.1,32,go2vec,1,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.892,True
0.001,0.001,400,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.902,True
0.001,0.001,500,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.903,True
0.001,0.001,500,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,True,4,True,3,False,True,0.884,True
0.001,0.01,500,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,True,4,True,3,False,True,0.897,True
